YNL171C	0
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YCL030C	HIS4
YIL116W	HIS5
YIL020C	HIS6
YBR248C	HIS7
YDR420W	HKR1
YMR161W	HLJ1
YDR528W	HLR1
YER057C	HMF1
YML075C	HMG1
YLR450W	HMG2
YOL095C	HMI1
YDR174W	HMO1
YOR032C	HMS1
YJR147W	HMS2
YBR034C	HMT1
YLR205C	HMX1
YGL077C	HNM1
YDL125C	HNT1
YDR305C	HNT2
YDL227C	HO
YJR075W	HOC1
YLR113W	HOG1
YNR055C	HOL1
YDR158W	HOM2
YER052C	HOM3
YJR139C	HOM6
YIL072W	HOP1
YER062C	HOR2
YMR251W-A	HOR7
YPR068C	HOS1
YGL194C	HOS2
YPL116W	HOS3
YIL112W	HOS4
YMR172W	HOT1
YKL084W	HOT13
YPR193C	HPA2
YEL066W	HPA3
YBR215W	HPC2
YOL155C	HPF1
YJL092W	HPR5
YDR399W	HPT1
YNL004W	HRB1
YOL013C	HRD1
YLR207W	HRD3
YOR267C	HRK1
YDR291W	HRQ1
YLR097C	HRT3
YMR186W	HSC82
YOR311C	HSD1
YHL002W	HSE1
YKL101W	HSL1
YBR272C	HSM3
YLL026W	HSP104
YFL014W	HSP12
YJL159W	HSP150
YBR072W	HSP26
YCR021C	HSP30
YDR533C	HSP31
YDR171W	HSP42
YDR258C	HSP78
YPL240C	HSP82
YOL068C	HST1
YPL015C	HST2
YOR025W	HST3
YDR191W	HST4
YGR223C	HSV2
YDR225W	HTA1
YBL003C	HTA2
YHR067W	HTD2
YOL012C	HTZ1
YGR268C	HUA1
YOR284W	HUA2
YNR032C-A	HUB1
YJR036C	HUL4
YGL141W	HUL5
YGL168W	HUR1
YPL244C	HUT1
YER039C	HVG1
YFR053C	HXK1
YGL253W	HXK2
YHR094C	HXT1
YFL011W	HXT10
YIL170W	HXT12
YNL318C	HXT14
YNR072W	HXT17
YMR011W	HXT2
YDR345C	HXT3
YHR092C	HXT4
YHR096C	HXT5
YJL214W	HXT8
YIR037W	HYR1
YOR126C	IAH1
YNL164C	IBD2
YIL090W	ICE2
YER065C	ICL1
YPR006C	ICL2
YBR157C	ICS2
YJL077C	ICS3
YLR099C	ICT1
YMR195W	ICY1
YPL250C	ICY2
YNL037C	IDH1
YOR136W	IDH2
YDL066W	IDP1
YLR174W	IDP2
YNL009W	IDP3
YJL146W	IDS2
YFL013C	IES1
YNL215W	IES2
YOR189W	IES4
YER092W	IES5
YBR159W	IFA38
YNL157W	IGO1
YHR132W-A	IGO2
YLR384C	IKI3
YJL057C	IKS1
YJR118C	ILM1
YCL009C	ILV6
YLR432W	IMD3
YML056C	IMD4
YJR094C	IME1
YJL106W	IME2
YCR071C	IMG2
YLR309C	IMH1
YJL082W	IML2
YBR107C	IML3
YMR035W	IMP2
YIL154C	IMP2'
YDL181W	INH1
YHR046C	INM1
YJL153C	INO1
YDR123C	INO2
YOL108C	INO4
YMR204C	INP1
YMR163C	INP2
YIL002C	INP51
YNL106C	INP52
YOR109W	INP53
YOL065C	INP54
YLR095C	IOC2
YFR013W	IOC3
YMR044W	IOC4
YDR315C	IPK1
YDR072C	IPT1
YOL081W	IRA2
YOL015W	IRC10
YPL017C	IRC15
YJL037W	IRC18
YLR247C	IRC20
YMR073C	IRC21
YEL001C	IRC22
YOR044W	IRC23
YIR036C	IRC24
YLR021W	IRC25
YDR332W	IRC3
YDR540C	IRC4
YFR038W	IRC5
YFR043C	IRC6
YFR055W	IRC7
YJL051W	IRC8
YHR079C	IRE1
YKR019C	IRS4
YER019W	ISC1
YER180C	ISC10
YOR155C	ISN1
YPR106W	ISR1
YNL265C	IST1
YBR086C	IST2
YIR005W	IST3
YPL135W	ISU1
YOR226C	ISU2
YBR245C	ISW1
YOR304W	ISW2
YJR050W	ISY1
YGL133W	ITC1
YDR497C	ITR1
YOL103W	ITR2
YML068W	ITT1
YDR229W	IVY1
YKL032C	IXR1
YDR492W	IZH1
YOL002C	IZH2
YLR023C	IZH3
YOL101C	IZH4
YJL073W	JEM1
YKL217W	JEN1
YER051W	JHD1
YJR119C	JHD2
YPR061C	JID1
YDR475C	JIP4
YNL227C	JJJ1
YJL162C	JJJ2
YJR097W	JJJ3
YLL057C	JLP1
YMR132C	JLP2
YMR294W	JNM1
YJR091C	JSN1
YGL241W	KAP114
YPL125W	KAP120
YGL016W	KAP122
YPR141C	KAR3
YCL055W	KAR4
YMR065W	KAR5
YPL269W	KAR9
YCL024W	KCC4
YHR158C	KEL1
YGR238C	KEL2
YPL263C	KEL3
YGL173C	KEM1
YPL145C	KES1
YGL203C	KEX1
YNL238W	KEX2
YIL125W	KGD1
YDR148C	KGD2
YJL094C	KHA1
YJL094C	KHA1
YJL094C	KHA1
YJL094C	KHA1
YJL094C	KHA1
YJL094C	KHA1
YJL094C	KHA1
YDR122W	KIN1
YLR096W	KIN2
YAR018C	KIN3
YOR233W	KIN4
YCR091W	KIN82
YBL063W	KIP1
YPL155C	KIP2
YGL216W	KIP3
YKL168C	KKQ8
YLL019C	KNS1
YLL019C	KNS1
YLL019C	KNS1
YLL019C	KNS1
YLL019C	KNS1
YLL019C	KNS1
YLL019C	KNS1
YNL322C	KRE1
YGR166W	KRE11
YDR483W	KRE2
YDR483W	KRE2
YIL027C	KRE27
YDR532C	KRE28
YHR082C	KSP1
YGR040W	KSS1
YKL110C	KTI12
YOR099W	KTR1
YKR061W	KTR2
YBR205W	KTR3
YBR199W	KTR4
YNL029C	KTR5
YPL053C	KTR6
YIL085C	KTR7
YJL207C	LAA1
YKL008C	LAC1
YHL003C	LAG1
YOL025W	LAG2
YNL239W	LAP3
YKL103C	LAP4
YJL062W	LAS21
YNL071W	LAT1
YJL134W	LCB3
YOR171C	LCB4
YDL146W	LDB17
YLL049W	LDB18
YOR322C	LDB19
YPL213W	LEA1
YPL054W	LEE1
YNL323W	LEM3
YOR123C	LEO1
YGL009C	LEU1
YLR451W	LEU3
YNL104C	LEU4
YOR108W	LEU9
YPL055C	LGE1
YDL051W	LHP1
YKL073W	LHS1
YJR070C	LIA1
YGL090W	LIF1
YHR156C	LIN1
YLR239C	LIP2
YOR196C	LIP5
YKL205W	LOS1
YKL183W	LOT5
YLR011W	LOT6
